type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,44978,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754716168,0,100,0,128,0,"[0,0,-6,2,-5,1,-4,0,-3,-2,-2,-2,-2,-4,-1,-5,-1,-6,-1,-7,-1,-8,-1,-9,-1,-9,0,-9,0,-10,0,-10,0,-10,2,-10,3,-11,4,-10,5,-10,7,-10,8,-10,9,-10,11,-10,11,-11,12,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,2,-15,2,-16,3,-16,3,-17,4,-17,5,-18,5,-18,6,-18,6,-17,5,-17,6,-17,6,-16,6,-15,6,-15,6,-14,7,-14,7,-13,7,-13,7,-12,8,-12,8,-11,8,-11,7,-10,6,-9,6,-8,5]"
CSI_DATA,44979,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754729867,0,100,0,128,0,"[0,0,1,-6,1,-5,1,-3,2,-1,2,0,3,1,4,2,4,3,5,4,5,4,6,5,6,5,6,5,7,6,6,7,6,7,5,7,5,9,4,10,3,11,2,12,1,13,0,13,0,14,-1,16,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-12,8,-13,8,-14,8,-15,7,-15,8,-16,7,-17,7,-17,7,-17,6,-17,7,-17,6,-16,5,-16,5,-16,4,-16,4,-15,3,-15,2,-15,2,-15,2,-15,1,-14,1,-14,1,-13,1,-12,1,-11,1,-10]"
CSI_DATA,44980,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754755913,0,100,0,128,0,"[0,0,-4,-5,-3,-4,-1,-4,0,-3,1,-3,3,-2,4,-2,5,-2,6,-2,7,-2,7,-2,8,-3,9,-3,9,-2,9,-2,9,-1,10,-1,10,1,10,2,10,4,11,5,11,6,12,7,12,8,13,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-14,-6,-14,-6,-15,-7,-16,-8,-16,-8,-16,-9,-16,-9,-17,-9,-16,-9,-16,-9,-16,-9,-15,-9,-15,-10,-14,-10,-13,-10,-13,-10,-12,-10,-11,-11,-11,-11,-10,-11,-10,-10,-10,-10,-9,-9,-8,-8,-8,-7,-7]"
CSI_DATA,44981,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754779833,0,100,0,128,0,"[0,0,-2,-6,-1,-5,0,-4,1,-2,2,-1,3,0,4,0,5,1,6,2,7,2,7,2,8,2,8,2,9,3,8,4,9,4,8,5,8,7,8,8,7,9,6,10,6,11,6,12,6,13,6,15,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-14,3,-16,2,-16,2,-17,1,-18,1,-19,1,-19,0,-19,0,-19,-1,-19,0,-19,-1,-18,-1,-18,-2,-17,-2,-17,-2,-16,-3,-16,-3,-15,-4,-15,-4,-15,-5,-14,-5,-14,-4,-13,-4,-12,-4,-11,-3,-10]"
CSI_DATA,44982,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754791384,0,100,0,128,0,"[0,0,-6,-1,-5,-1,-3,-1,-2,-2,-1,-3,1,-4,1,-5,2,-6,3,-7,3,-7,3,-8,4,-8,4,-8,5,-9,5,-8,6,-8,7,-8,8,-7,9,-6,10,-6,11,-5,12,-4,13,-4,14,-4,15,-4,16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-5,-15,-5,-15,-5,-16,-5,-17,-5,-18,-4,-18,-4,-18,-4,-18,-4,-18,-4,-18,-3,-18,-3,-17,-3,-17,-2,-17,-2,-16,-1,-16,-1,-15,0,-15,0,-15,1,-15,1,-14,1,-13,1,-12,1,-11,1,-10,0]"
CSI_DATA,44983,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754801522,0,100,0,128,0,"[0,0,-7,0,-5,-1,-3,-1,-2,-2,-1,-3,0,-4,1,-5,2,-6,2,-7,2,-8,3,-8,3,-9,3,-9,4,-9,4,-10,5,-9,6,-9,7,-9,8,-8,9,-8,10,-7,12,-7,13,-6,14,-6,15,-6,16,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-4,-15,-4,-16,-4,-17,-4,-18,-4,-18,-3,-19,-2,-19,-2,-19,-2,-19,-2,-19,-2,-18,-1,-18,-1,-17,-1,-17,0,-17,1,-16,1,-16,2,-15,2,-15,3,-14,3,-14,3,-13,3,-12,2,-11,2,-9,1]"
CSI_DATA,44984,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754813345,0,100,0,128,0,"[0,0,-6,1,-5,0,-4,-1,-2,-2,-1,-3,0,-4,0,-5,1,-6,1,-7,1,-8,1,-9,2,-9,2,-9,2,-9,3,-10,3,-10,4,-10,5,-10,7,-9,8,-9,9,-8,11,-8,12,-8,13,-8,14,-8,14,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-2,-16,-2,-16,-2,-17,-1,-17,-1,-18,0,-18,0,-19,1,-19,1,-18,1,-19,2,-18,2,-17,2,-17,2,-16,2,-16,3,-15,3,-15,4,-14,4,-14,4,-14,5,-13,5,-12,4,-11,4,-10,3,-9,3]"
CSI_DATA,44985,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754832550,0,100,0,128,0,"[0,0,-5,-4,-4,-3,-2,-4,-1,-3,1,-2,2,-3,4,-3,5,-3,6,-4,7,-4,7,-5,8,-4,9,-5,9,-6,9,-6,10,-4,11,-4,11,-3,12,-1,12,0,13,1,14,2,15,3,16,4,16,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-14,-8,-15,-9,-15,-10,-15,-11,-16,-11,-16,-12,-16,-13,-16,-13,-16,-13,-16,-13,-15,-13,-14,-13,-14,-13,-13,-13,-12,-13,-11,-13,-11,-13,-10,-13,-9,-14,-9,-13,-8,-13,-8,-13,-8,-11,-7,-10,-6,-8,-6]"
CSI_DATA,44986,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754855026,0,100,0,128,0,"[0,0,6,1,3,0,2,1,1,2,-1,2,-2,3,-3,4,-4,5,-5,5,-5,6,-6,7,-6,7,-7,7,-7,7,-7,7,-8,7,-9,6,-10,6,-11,5,-12,4,-13,3,-14,2,-15,2,-16,1,-17,1,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,13,6,14,7,15,6,16,6,17,6,17,5,18,6,18,5,18,5,18,5,17,4,17,4,16,3,16,3,16,2,15,1,15,1,15,0,15,0,14,0,14,-1,13,-1,12,0,11,0,9,0]"
CSI_DATA,44987,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754857511,0,100,0,128,0,"[0,0,-4,-5,-2,-4,-1,-3,0,-3,2,-2,3,-2,4,-1,6,-1,6,-1,7,-1,8,-1,9,-2,9,-1,9,-1,9,0,10,0,10,1,10,2,10,4,10,5,10,6,10,7,11,8,11,9,11,11,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-14,-5,-15,-6,-15,-6,-16,-7,-16,-7,-17,-7,-17,-8,-17,-8,-17,-8,-17,-8,-16,-8,-16,-9,-16,-9,-15,-9,-14,-9,-13,-10,-13,-9,-12,-10,-12,-10,-11,-10,-11,-10,-10,-9,-9,-8,-9,-7,-8,-6,-7]"
CSI_DATA,44988,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754886485,0,100,0,128,0,"[0,0,1,-6,1,-5,1,-3,2,-1,2,0,3,1,3,2,4,3,5,4,5,5,6,5,6,5,6,6,6,6,6,7,6,8,5,8,4,9,4,10,2,11,2,12,1,13,0,14,0,15,-1,16,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-12,8,-13,8,-13,8,-14,8,-15,8,-16,8,-16,7,-17,7,-17,7,-17,7,-17,7,-17,6,-16,5,-16,5,-15,4,-15,3,-15,3,-15,2,-15,1,-15,1,-14,1,-14,1,-13,1,-12,1,-11,1,-9]"
CSI_DATA,44989,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754921742,0,100,0,128,0,"[0,0,-2,5,-2,4,-3,2,-3,0,-4,-1,-4,-2,-6,-3,-6,-4,-7,-5,-8,-6,-8,-6,-9,-6,-9,-6,-9,-7,-9,-8,-9,-9,-8,-9,-8,-11,-7,-12,-6,-13,-5,-14,-4,-15,-4,-16,-4,-17,-4,-19,-3,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,13,-10,13,-9,14,-9,15,-9,16,-10,16,-10,17,-10,17,-9,18,-9,18,-9,18,-8,17,-7,17,-7,17,-6,16,-5,16,-4,16,-4,16,-3,16,-2,15,-2,15,-1,14,-2,14,-2,12,-1,11,-1,9]"
CSI_DATA,44990,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754942183,0,100,0,128,0,"[0,0,-1,-5,0,-4,1,-3,2,-2,3,-1,4,0,4,1,6,1,6,2,7,2,8,2,8,2,8,2,9,3,8,4,9,4,8,5,8,6,8,8,7,9,7,10,7,11,7,12,7,13,7,14,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-14,4,-15,3,-15,3,-16,3,-16,3,-18,3,-18,3,-18,2,-18,2,-18,2,-18,2,-18,1,-17,0,-17,0,-17,-1,-16,-1,-16,-2,-15,-3,-15,-3,-14,-3,-14,-3,-14,-3,-12,-3,-11,-2,-10,-2,-9]"
CSI_DATA,44991,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754952341,0,100,0,128,0,"[0,0,-3,-5,-2,-4,-1,-4,1,-3,3,-3,4,-2,5,-2,6,-2,6,-3,7,-3,8,-3,9,-3,9,-3,9,-3,9,-2,10,-1,10,-1,10,1,10,2,11,3,11,5,12,5,12,6,13,8,14,8,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-14,-5,-15,-6,-15,-7,-16,-7,-16,-8,-17,-8,-17,-9,-17,-9,-17,-9,-17,-9,-17,-9,-16,-9,-16,-10,-15,-10,-15,-10,-13,-10,-13,-10,-12,-11,-12,-11,-11,-11,-10,-10,-10,-10,-9,-9,-9,-8,-8,-6,-7]"
CSI_DATA,44992,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,754984617,0,100,0,128,0,"[0,0,4,2,3,2,1,2,0,3,-2,3,-3,4,-4,4,-5,5,-5,6,-5,6,-5,7,-6,7,-6,7,-7,7,-7,7,-7,6,-8,6,-9,5,-10,4,-12,4,-13,3,-14,2,-15,2,-16,2,-17,1,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,9,12,9,13,9,14,9,15,9,15,9,15,9,16,9,16,9,16,8,16,8,15,7,15,7,15,6,15,5,15,4,14,3,14,3,14,2,14,2,13,2,12,2,11,1,9,2,8,2]"
CSI_DATA,44993,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755008967,0,100,0,128,0,"[0,0,5,-2,3,-1,3,1,2,2,1,3,1,4,0,5,0,6,1,7,1,7,1,8,1,8,0,9,0,9,0,9,-1,9,-2,9,-3,10,-4,10,-5,10,-7,10,-8,10,-9,10,-10,11,-11,11,-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-2,15,-2,15,-2,16,-2,16,-3,17,-4,17,-4,18,-4,18,-4,17,-4,17,-5,17,-5,16,-5,15,-5,15,-6,14,-7,14,-7,13,-7,12,-8,12,-8,11,-8,10,-8,10,-7,9,-6,8,-6,7,-4]"
CSI_DATA,44994,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755039329,0,100,0,128,0,"[0,0,5,1,3,1,2,2,1,3,0,3,-1,4,-2,5,-2,6,-2,7,-2,8,-2,8,-3,8,-3,9,-3,9,-3,9,-3,8,-5,9,-6,8,-7,8,-8,8,-9,8,-11,8,-12,7,-13,7,-14,8,-14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,13,5,14,5,14,5,15,5,16,4,17,4,17,4,17,4,17,4,17,3,17,3,16,3,16,2,15,1,15,0,14,0,14,-1,14,-2,13,-2,13,-2,12,-2,11,-2,10,-2,9,-1,8,-1]"
CSI_DATA,44995,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755062828,0,100,0,128,0,"[0,0,-6,0,-5,-1,-3,-2,-3,-3,-2,-4,-1,-5,-1,-6,0,-7,-1,-8,-1,-9,0,-9,0,-9,0,-9,0,-10,0,-10,1,-10,2,-10,3,-10,4,-10,6,-9,7,-9,9,-9,10,-9,11,-10,12,-10,12,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-1,-15,-1,-16,-1,-16,-1,-17,0,-18,1,-18,1,-19,1,-19,1,-19,1,-19,1,-18,2,-17,2,-16,2,-16,3,-16,4,-15,4,-14,4,-14,4,-13,5,-13,5,-12,5,-11,4,-11,4,-9,3,-8,2]"
CSI_DATA,44996,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755081642,0,100,0,128,0,"[0,0,-1,-6,0,-5,1,-4,2,-2,4,-2,5,-1,5,-1,7,-1,7,0,8,0,8,0,9,-1,9,0,9,0,9,1,9,1,9,2,9,4,9,5,9,6,8,7,8,8,9,10,9,11,10,12,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-14,2,-15,2,-16,1,-17,1,-18,1,-18,0,-19,0,-19,0,-19,-1,-19,-1,-19,-1,-18,-2,-18,-2,-17,-3,-17,-3,-16,-4,-15,-4,-15,-5,-14,-5,-14,-5,-13,-5,-13,-5,-12,-4,-11,-4,-10,-3,-8]"
CSI_DATA,44997,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755101691,0,100,0,128,0,"[0,0,-4,4,-4,2,-4,1,-4,-1,-4,-2,-5,-3,-5,-4,-6,-5,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-6,-8,-6,-9,-5,-10,-4,-11,-3,-12,-2,-13,-1,-13,0,-14,0,-16,0,-17,1,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,8,-12,9,-12,10,-13,10,-13,11,-13,12,-13,13,-13,13,-13,13,-13,13,-13,14,-12,13,-11,13,-10,13,-10,13,-9,13,-8,13,-7,13,-7,13,-6,13,-5,12,-5,12,-5,11,-5,10,-5,9,-4,7]"
CSI_DATA,44998,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755121616,0,100,0,128,0,"[0,0,-4,4,-4,3,-4,1,-4,0,-4,-2,-5,-3,-5,-4,-6,-5,-7,-6,-7,-6,-8,-6,-7,-6,-8,-7,-8,-7,-7,-8,-7,-8,-6,-8,-6,-10,-5,-11,-4,-12,-3,-13,-2,-13,-1,-15,-1,-16,-1,-17,-1,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,10,-11,10,-11,11,-12,12,-11,13,-12,14,-12,14,-12,14,-12,15,-11,15,-11,15,-11,15,-10,14,-9,14,-8,14,-8,14,-7,14,-6,14,-5,14,-5,13,-5,13,-4,12,-4,11,-4,11,-4,9,-3,7]"
CSI_DATA,44999,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755138170,0,100,0,128,0,"[0,0,-2,4,-3,3,-3,2,-4,0,-4,-1,-5,-2,-6,-3,-7,-3,-7,-4,-8,-4,-8,-5,-9,-5,-9,-5,-9,-5,-9,-6,-8,-6,-8,-7,-7,-8,-7,-9,-6,-10,-6,-11,-5,-12,-4,-14,-4,-14,-5,-16,-5,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,11,-9,12,-8,13,-8,13,-9,14,-8,15,-8,16,-8,16,-8,16,-8,16,-8,16,-7,16,-7,15,-6,15,-5,15,-4,15,-4,14,-3,14,-2,14,-2,13,-1,13,-1,12,-1,12,-2,10,-2,9,-2,7]"
CSI_DATA,45000,d0:15:a6:d5:17:16,-53,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755153558,0,100,0,128,0,"[0,0,-2,-5,-1,-5,1,-4,2,-3,3,-3,4,-2,5,-2,6,-2,7,-2,7,-2,8,-2,9,-2,9,-2,9,-2,9,-1,9,0,10,0,10,2,10,3,10,4,10,5,11,6,11,7,11,8,12,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-14,-2,-15,-3,-16,-4,-17,-4,-17,-5,-18,-5,-18,-5,-18,-6,-18,-6,-18,-6,-18,-6,-17,-6,-17,-7,-16,-7,-15,-7,-14,-8,-14,-8,-13,-9,-13,-8,-12,-8,-12,-8,-11,-8,-10,-6,-10,-5,-8,-5,-8]"
CSI_DATA,45001,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755165890,0,100,0,128,0,"[0,0,3,4,1,3,0,3,-1,3,-3,3,-4,3,-5,3,-6,3,-7,3,-7,4,-8,4,-8,4,-8,4,-9,4,-9,4,-9,3,-10,2,-11,1,-11,0,-12,-1,-12,-2,-13,-3,-14,-4,-15,-4,-15,-5,-16,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,13,7,13,8,14,8,14,9,14,9,14,10,14,10,14,10,14,10,14,10,13,10,13,11,12,11,11,10,10,11,10,11,9,11,8,11,8,10,7,10,7,9,6,8,6,7,5,6,5]"
CSI_DATA,45002,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755199146,0,100,0,128,0,"[0,0,-3,-5,-2,-4,-1,-4,1,-4,2,-4,3,-4,5,-4,5,-4,6,-4,7,-4,7,-4,8,-5,8,-5,8,-5,8,-4,9,-4,10,-3,10,-2,11,-1,11,1,12,1,13,2,13,3,14,4,15,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-14,-6,-15,-7,-15,-7,-16,-8,-16,-9,-16,-9,-17,-10,-17,-10,-17,-10,-17,-10,-16,-10,-16,-10,-15,-10,-14,-11,-13,-11,-12,-11,-12,-11,-11,-11,-10,-11,-10,-11,-9,-11,-9,-10,-8,-9,-8,-8,-7,-7,-6]"
CSI_DATA,45003,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755209603,0,100,0,128,0,"[0,0,-3,-6,-1,-5,0,-4,1,-4,3,-3,4,-3,5,-3,6,-3,7,-3,7,-3,8,-3,9,-4,9,-3,9,-3,9,-3,10,-2,10,-2,10,0,11,1,11,2,11,4,12,4,13,5,13,6,14,7,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-15,-2,-15,-3,-16,-3,-17,-4,-17,-4,-18,-5,-18,-5,-19,-6,-19,-6,-19,-6,-18,-6,-17,-7,-17,-7,-16,-7,-15,-7,-14,-8,-14,-8,-13,-9,-13,-9,-12,-9,-12,-8,-11,-8,-10,-7,-10,-6,-9,-5,-8]"
CSI_DATA,45004,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755222451,0,100,0,128,0,"[0,0,-3,-5,-2,-4,0,-4,1,-4,2,-3,3,-3,5,-3,6,-3,6,-3,7,-4,7,-4,8,-4,8,-4,9,-4,9,-3,9,-3,10,-2,10,-1,11,0,11,1,11,3,12,3,13,4,14,5,14,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-14,-4,-15,-5,-15,-6,-16,-7,-16,-7,-17,-7,-17,-8,-17,-8,-17,-9,-17,-9,-16,-9,-16,-9,-15,-9,-14,-9,-14,-9,-13,-10,-12,-10,-11,-10,-11,-10,-10,-10,-10,-10,-9,-9,-8,-8,-8,-7,-7,-6,-7]"
CSI_DATA,45005,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755235352,0,100,0,128,0,"[0,0,-5,2,-4,1,-4,-1,-3,-2,-3,-3,-3,-4,-3,-6,-3,-7,-3,-7,-4,-8,-4,-9,-4,-9,-4,-9,-4,-10,-3,-10,-3,-11,-2,-11,-1,-12,0,-12,1,-12,2,-13,4,-13,5,-14,6,-14,6,-15,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,4,-15,4,-15,5,-16,5,-16,6,-17,7,-17,8,-17,8,-17,8,-17,8,-17,8,-16,8,-15,8,-14,9,-13,9,-13,9,-12,9,-11,9,-11,9,-10,9,-10,9,-9,9,-9,8,-8,8,-7,6,-7,5]"
CSI_DATA,45006,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755254844,0,100,0,128,0,"[0,0,-2,-5,-1,-5,1,-4,1,-3,3,-2,4,-1,5,-2,6,-2,7,-1,8,-1,8,-1,9,-2,9,-2,9,-1,9,0,9,0,10,1,10,2,10,4,10,5,10,7,11,7,11,9,11,9,12,11,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-15,-2,-16,-2,-16,-3,-17,-4,-17,-4,-18,-4,-18,-5,-19,-5,-19,-6,-19,-6,-18,-5,-17,-6,-17,-7,-16,-7,-15,-7,-15,-7,-14,-7,-14,-8,-13,-8,-13,-7,-12,-7,-11,-7,-10,-7,-10,-5,-9,-4,-8]"
CSI_DATA,45007,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755265501,0,100,0,128,0,"[0,0,2,4,1,3,-1,3,-2,2,-3,2,-5,2,-6,2,-7,2,-7,2,-8,2,-8,2,-9,3,-9,3,-10,3,-10,2,-10,2,-11,1,-11,0,-12,-2,-12,-3,-13,-4,-14,-5,-14,-6,-15,-7,-15,-7,-16,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,14,4,15,5,15,5,16,6,16,6,17,7,17,7,16,7,16,7,16,7,15,8,15,8,14,8,13,8,12,9,12,9,11,9,10,9,10,9,9,8,9,8,8,7,7,6,7,5,6]"
CSI_DATA,45008,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755284697,0,100,0,128,0,"[0,0,-2,5,-3,3,-3,2,-4,0,-4,-1,-5,-2,-6,-2,-7,-3,-7,-4,-8,-4,-8,-4,-9,-4,-9,-5,-9,-5,-9,-6,-9,-6,-9,-7,-8,-8,-7,-10,-7,-11,-6,-12,-6,-13,-5,-14,-5,-15,-5,-17,-5,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,12,-7,13,-7,14,-7,15,-7,15,-7,16,-7,17,-7,17,-6,17,-6,17,-6,17,-6,16,-5,16,-4,16,-3,15,-3,15,-2,15,-2,14,-1,14,0,13,0,13,0,12,0,11,-1,11,-1,9,-1,8]"
CSI_DATA,45009,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755296170,0,100,0,128,0,"[0,0,-2,5,-2,3,-3,2,-3,0,-4,-1,-5,-1,-6,-2,-7,-3,-7,-4,-8,-4,-8,-4,-9,-4,-9,-4,-9,-5,-9,-5,-9,-6,-9,-6,-8,-8,-8,-9,-7,-11,-7,-12,-7,-13,-6,-14,-6,-15,-6,-16,-6,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,12,-8,13,-7,14,-7,15,-7,16,-7,16,-7,17,-7,17,-6,17,-6,17,-6,17,-6,17,-5,16,-4,16,-3,15,-2,15,-2,15,-1,14,-1,14,0,13,0,13,0,13,0,12,0,10,-1,9,-1,8]"
CSI_DATA,45010,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755304697,0,100,0,128,0,"[0,0,5,0,3,0,2,1,1,2,0,3,-1,4,-1,5,-2,6,-2,7,-2,8,-2,8,-2,9,-2,9,-3,9,-3,9,-3,9,-5,9,-6,9,-7,9,-8,8,-10,8,-11,8,-12,8,-13,8,-14,9,-15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,14,3,15,4,15,3,16,3,17,2,18,2,18,2,18,1,18,2,18,1,17,1,17,0,16,-1,15,-1,15,-2,15,-2,14,-3,14,-3,13,-4,13,-4,12,-4,11,-4,10,-3,9,-3,8,-2]"
CSI_DATA,45011,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755315310,0,100,0,128,0,"[0,0,-6,-1,-4,-2,-3,-3,-1,-4,0,-4,1,-5,1,-6,2,-7,2,-7,3,-8,3,-9,3,-9,4,-9,4,-10,4,-9,5,-9,6,-9,7,-8,8,-8,9,-7,10,-7,12,-6,13,-6,14,-6,15,-6,16,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-6,-15,-6,-15,-6,-16,-6,-17,-6,-18,-5,-18,-5,-19,-5,-19,-5,-18,-5,-18,-4,-18,-4,-17,-4,-17,-3,-16,-2,-16,-1,-16,-1,-15,0,-15,0,-14,1,-14,1,-13,1,-13,0,-12,0,-10,0,-9,-1]"
CSI_DATA,45012,d0:15:a6:d5:17:16,-54,11,1,7,0,0,1,0,1,0,1,-94,0,1,0,755324859,0,100,0,128,0,"[0,0,0,5,-1,4,-2,2,-3,1,-4,0,-5,0,-6,-1,-7,-2,-8,-2,-8,-2,-9,-2,-10,-2,-10,-2,-10,-3,-11,-3,-10,-4,-11,-5,-10,-5,-10,-7,-10,-9,-10,-10,-9,-10,-10,-12,-10,-13,-10,-14,-10,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,14,-5,14,-4,15,-4,16,-3,17,-3,17,-3,18,-3,18,-2,18,-2,18,-2,17,-1,17,-1,17,0,16,0,15,1,15,1,14,2,14,2,13,3,13,3,13,3,12,2,11,2,10,2,9,1,8]"
